MESSAGE_TYPE_ID,TRANSMITTED_MESSAGE_ID,CALENDAR_ID,LATITUDE,Lat,LONGITUDE,Long,ADHERENCE,MESSAGE_TIMESTAMP,LOCAL_TIMESTAMP,Trip_Seq,DIRECTION,ODOMETER,SOURCE_HOST,ROUTE_ABBR,NODE_ABBR,FOM,MESSAGE_TYPE_TEXT
12,2764176036,120161001,448629658,44.8629658,-932437104,-93.2437104,0,2016-10-01T13:54:44.770Z,,,,0,2639,,,14,Vehicle Location
12,2764176107,120161001,448629658,44.8629658,-932437104,-93.2437104,0,2016-10-01T13:55:44.767Z,,,,0,2639,,,14,Vehicle Location
12,2764176138,120161001,448629658,44.8629658,-932437104,-93.2437104,0,2016-10-01T13:56:12.973Z,,,,0,2639,,,14,Vehicle Location
12,2764176212,120161001,448629658,44.8629658,-932437104,-93.2437104,7,2016-10-01T13:57:12.970Z,,,,0,2639,,,14,Vehicle Location
12,2764176284,120161001,448629658,44.8629658,-932437104,-93.2437104,6,2016-10-01T13:58:12.970Z,,,,0,2639,,,14,Vehicle Location
12,2764176438,120161001,448629658,44.8629658,-932437104,-93.2437104,4,2016-10-01T14:00:16.787Z,,,,0,2639,,,14,Vehicle Location
16,1051613967,120161001,448629658,44.8629658,-932437104,-93.2437104,3,2016-10-01T14:00:50.890Z,2016-10-01T09:00:50.890Z,1,1,7,2639,921,SOUT,14,Timepoint Crossing
128,1051613988,120161001,448629658,44.8629658,-932437104,-93.2437104,,2016-10-01T14:02:00.373Z,2016-10-01T09:02:00.373Z,2,1,0,2639,921,SOUT,14,Verbose Pass Count
12,2764176574,120161001,448651010,44.865101,-932431925,-93.2431925,3,2016-10-01T14:02:05.287Z,2016-10-01T09:02:00.373Z,3,1,41,2639,921,SOUT,2,Vehicle Location
12,2764176655,120161001,448717633,44.8717633,-932468829,-93.2468829,3,2016-10-01T14:03:05.767Z,2016-10-01T09:02:00.373Z,4,1,96,2639,921,SOUT,2,Vehicle Location
12,2764176739,120161001,448820202,44.8820202,-932450018,-93.2450018,3,2016-10-01T14:04:05.780Z,2016-10-01T09:02:00.373Z,5,1,169,2639,921,SOUT,2,Vehicle Location
12,2764176819,120161001,448900351,44.8900351,-932468148,-93.2468148,3,2016-10-01T14:05:05.780Z,2016-10-01T09:02:00.373Z,6,1,230,2639,921,SOUT,2,Vehicle Location
12,2764176900,120161001,448955576,44.8955576,-932484039,-93.2484039,3,2016-10-01T14:06:05.777Z,2016-10-01T09:02:00.373Z,7,1,299,2639,921,SOUT,2,Vehicle Location
12,2764176980,120161001,448907342,44.8907342,-932649491,-93.2649491,4,2016-10-01T14:07:05.777Z,2016-10-01T09:02:00.373Z,8,1,393,2639,921,SOUT,2,Vehicle Location
12,2764177065,120161001,448976588,44.8976588,-932747744,-93.2747744,5,2016-10-01T14:08:05.773Z,2016-10-01T09:02:00.373Z,9,1,485,2639,921,SOUT,2,Vehicle Location
12,2764177143,120161001,449129895,44.9129895,-932746117,-93.2746117,6,2016-10-01T14:09:05.770Z,2016-10-01T09:02:00.373Z,10,1,590,2639,921,SOUT,2,Vehicle Location
12,2764177218,120161001,449285773,44.9285773,-932745071,-93.2745071,7,2016-10-01T14:10:05.787Z,2016-10-01T09:02:00.373Z,11,1,697,2639,921,SOUT,2,Vehicle Location
12,2764177292,120161001,449441248,44.9441248,-932746002,-93.2746002,7,2016-10-01T14:11:05.797Z,2016-10-01T09:02:00.373Z,12,1,805,2639,921,SOUT,2,Vehicle Location
12,2764177368,120161001,449585746,44.9585746,-932691894,-93.2691894,8,2016-10-01T14:12:05.780Z,2016-10-01T09:02:00.373Z,13,1,911,2639,921,SOUT,2,Vehicle Location
12,2764177448,120161001,449657529,44.9657529,-932598619,-93.2598619,9,2016-10-01T14:13:05.780Z,2016-10-01T09:02:00.373Z,14,1,1001,2639,921,SOUT,2,Vehicle Location
12,2764177530,120161001,449757610,44.975761,-932468483,-93.2468483,10,2016-10-01T14:14:05.777Z,2016-10-01T09:02:00.373Z,15,1,1104,2639,921,SOUT,2,Vehicle Location
12,2764177614,120161001,449889761,44.9889761,-932362161,-93.2362161,11,2016-10-01T14:15:05.777Z,2016-10-01T09:02:00.373Z,16,1,1211,2639,921,SOUT,2,Vehicle Location
12,2764177696,120161001,450023901,45.0023901,-932330338,-93.2330338,12,2016-10-01T14:16:05.787Z,2016-10-01T09:02:00.373Z,17,1,1317,2639,921,SOUT,2,Vehicle Location
12,2764177776,120161001,450037227,45.0037227,-932129088,-93.2129088,13,2016-10-01T14:17:05.787Z,2016-10-01T09:02:00.373Z,18,1,1420,2639,921,SOUT,2,Vehicle Location
12,2764177857,120161001,450100792,45.0100792,-931936070,-93.193607,14,2016-10-01T14:18:05.783Z,2016-10-01T09:02:00.373Z,19,1,1528,2639,921,SOUT,2,Vehicle Location
12,2764177941,120161001,450100732,45.0100732,-931717129,-93.1717129,15,2016-10-01T14:19:05.783Z,2016-10-01T09:02:00.373Z,20,1,1635,2639,921,SOUT,2,Vehicle Location
12,2764178024,120161001,450134475,45.0134475,-931667714,-93.1667714,15,2016-10-01T14:20:05.780Z,2016-10-01T09:02:00.373Z,21,1,1704,2639,921,SOUT,2,Vehicle Location
12,2764178105,120161001,450141221,45.0141221,-931686948,-93.1686948,14,2016-10-01T14:21:05.777Z,2016-10-01T09:02:00.373Z,22,1,1736,2639,921,SOUT,2,Vehicle Location
12,2764178191,120161001,450125354,45.0125354,-931684246,-93.1684246,14,2016-10-01T14:22:08.193Z,2016-10-01T09:02:00.373Z,23,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178278,120161001,450125102,45.0125102,-931684556,-93.1684556,13,2016-10-01T14:23:08.193Z,2016-10-01T09:02:00.373Z,24,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178363,120161001,450125308,45.0125308,-931684932,-93.1684932,12,2016-10-01T14:24:08.190Z,2016-10-01T09:02:00.373Z,25,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178450,120161001,450125435,45.0125435,-931685046,-93.1685046,11,2016-10-01T14:25:08.187Z,2016-10-01T09:02:00.373Z,26,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178536,120161001,450125560,45.012556,-931685331,-93.1685331,10,2016-10-01T14:26:08.187Z,2016-10-01T09:02:00.373Z,27,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178619,120161001,450125910,45.012591,-931685943,-93.1685943,9,2016-10-01T14:27:08.183Z,2016-10-01T09:02:00.373Z,28,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178712,120161001,450125811,45.0125811,-931685892,-93.1685892,8,2016-10-01T14:28:10.583Z,2016-10-01T09:02:00.373Z,29,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178793,120161001,450125784,45.0125784,-931685741,-93.1685741,7,2016-10-01T14:29:10.597Z,2016-10-01T09:02:00.373Z,30,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178878,120161001,450125663,45.0125663,-931685507,-93.1685507,6,2016-10-01T14:30:10.597Z,2016-10-01T09:02:00.373Z,31,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764178965,120161001,450125859,45.0125859,-931685630,-93.168563,5,2016-10-01T14:31:10.593Z,2016-10-01T09:02:00.373Z,32,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764179056,120161001,450125834,45.0125834,-931685444,-93.1685444,4,2016-10-01T14:32:10.593Z,2016-10-01T09:02:00.373Z,33,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764179136,120161001,450125846,45.0125846,-931685390,-93.168539,3,2016-10-01T14:33:10.590Z,2016-10-01T09:02:00.373Z,34,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764179227,120161001,450125773,45.0125773,-931685300,-93.16853,2,2016-10-01T14:34:10.603Z,2016-10-01T09:02:00.373Z,35,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764179316,120161001,450125731,45.0125731,-931685279,-93.1685279,1,2016-10-01T14:35:10.603Z,2016-10-01T09:02:00.373Z,36,1,1750,2639,921,SOUT,2,Vehicle Location
12,2764179391,120161001,450125767,45.0125767,-931685283,-93.1685283,0,2016-10-01T14:36:04.203Z,2016-10-01T09:02:00.373Z,37,1,1750,2639,921,SOUT,2,Vehicle Location
128,1051614774,120161001,450125754,45.0125754,-931684865,-93.1684865,,2016-10-01T14:37:08.197Z,2016-10-01T09:37:08.197Z,38,1,1750,2639,921,SOUT,2,Verbose Pass Count
12,2764179488,120161001,450146449,45.0146449,-931674856,-93.1674856,-1,2016-10-01T14:37:11.847Z,2016-10-01T09:37:08.197Z,39,1,1777,2639,921,SOUT,2,Vehicle Location
12,2764179492,120161001,450143520,45.014352,-931672011,-93.1672011,-1,2016-10-01T14:37:15.403Z,2016-10-01T09:37:08.197Z,40,1,1780,2639,921,SOUT,2,Vehicle Location
12,2764179514,120161001,450122664,45.0122664,-931668393,-93.1668393,-1,2016-10-01T14:37:31.597Z,2016-10-01T09:37:08.197Z,41,1,1794,2639,921,SOUT,2,Vehicle Location
12,2764179516,120161001,450117641,45.0117641,-931667164,-93.1667164,0,2016-10-01T14:37:34.590Z,2016-10-01T09:37:08.197Z,42,1,1798,2639,921,SOUT,2,Vehicle Location
12,2764179565,120161001,450061786,45.0061786,-931666057,-93.1666057,-1,2016-10-01T14:38:06.993Z,2016-10-01T09:37:08.197Z,43,1,1836,2639,921,SOUT,2,Vehicle Location
12,2764179654,120161001,449942245,44.9942245,-931666966,-93.1666966,0,2016-10-01T14:39:09.393Z,2016-10-01T09:37:08.197Z,44,1,1918,2639,921,SOUT,2,Vehicle Location
12,2764179738,120161001,449912112,44.9912112,-931668135,-93.1668135,-1,2016-10-01T14:40:09.407Z,2016-10-01T09:37:08.197Z,45,1,1939,2639,921,SOUT,2,Vehicle Location
16,1051614842,120161001,449908048,44.9908048,-931667658,-93.1667658,-1,2016-10-01T14:40:17.207Z,2016-10-01T09:40:17.207Z,46,1,1942,2639,921,SNLA,2,Timepoint Crossing
128,1051614844,120161001,449912783,44.9912783,-931668219,-93.1668219,,2016-10-01T14:40:21.997Z,2016-10-01T09:40:21.997Z,47,1,1938,2639,921,SNLA,2,Verbose Pass Count
12,2764179760,120161001,449894997,44.9894997,-931668707,-93.1668707,-1,2016-10-01T14:40:25.600Z,2016-10-01T09:40:21.997Z,48,1,1951,2639,921,SNLA,2,Vehicle Location
12,2764179790,120161001,449878830,44.987883,-931671045,-93.1671045,-1,2016-10-01T14:40:41.807Z,2016-10-01T09:40:21.997Z,49,1,1962,2639,921,SNLA,2,Vehicle Location
12,2764179795,120161001,449878725,44.9878725,-931671044,-93.1671044,-1,2016-10-01T14:40:45.410Z,2016-10-01T09:40:21.997Z,50,1,1962,2639,921,SNLA,2,Vehicle Location
12,2764179806,120161001,449874601,44.9874601,-931670992,-93.1670992,-1,2016-10-01T14:40:53.803Z,2016-10-01T09:40:21.997Z,51,1,1965,2639,921,SNLA,2,Vehicle Location
128,1051614879,120161001,449878830,44.987883,-931671045,-93.1671045,,2016-10-01T14:41:22.603Z,2016-10-01T09:41:22.603Z,52,1,1962,2639,921,SNLA,2,Verbose Pass Count
12,2764179848,120161001,449824954,44.9824954,-931670712,-93.1670712,-1,2016-10-01T14:41:26.207Z,2016-10-01T09:41:22.603Z,53,1,1999,2639,921,SNLA,2,Vehicle Location
12,2764179883,120161001,449801416,44.9801416,-931671612,-93.1671612,-1,2016-10-01T14:41:47.203Z,2016-10-01T09:41:22.603Z,54,1,2015,2639,921,SNLA,2,Vehicle Location
12,2764179968,120161001,449719122,44.9719122,-931670783,-93.1670783,-1,2016-10-01T14:42:49.620Z,2016-10-01T09:41:22.603Z,55,1,2072,2639,921,SNLA,2,Vehicle Location
12,2764179985,120161001,449686904,44.9686904,-931670992,-93.1670992,-1,2016-10-01T14:43:06.997Z,2016-10-01T09:41:22.603Z,56,1,2096,2639,921,SNLA,2,Vehicle Location
12,2764180018,120161001,449649724,44.9649724,-931671133,-93.1671133,-1,2016-10-01T14:43:31.007Z,2016-10-01T09:41:22.603Z,57,1,2121,2639,921,SNLA,2,Vehicle Location
12,2764180052,120161001,449622713,44.9622713,-931671152,-93.1671152,-1,2016-10-01T14:43:49.007Z,2016-10-01T09:41:22.603Z,58,1,2140,2639,921,SNLA,2,Vehicle Location
12,2764180143,120161001,449549509,44.9549509,-931670617,-93.1670617,0,2016-10-01T14:44:51.410Z,2016-10-01T09:41:22.603Z,59,1,2189,2639,921,SNLA,2,Vehicle Location
16,1051615007,120161001,449545141,44.9545141,-931670447,-93.1670447,0,2016-10-01T14:45:20.410Z,2016-10-01T09:45:20.410Z,60,1,2193,2639,921,UNSN,2,Timepoint Crossing
128,1051615011,120161001,449549494,44.9549494,-931670597,-93.1670597,,2016-10-01T14:45:26.197Z,2016-10-01T09:45:26.197Z,61,1,2189,2639,921,UNSN,2,Verbose Pass Count
12,2764180200,120161001,449533096,44.9533096,-931670778,-93.1670778,0,2016-10-01T14:45:29.800Z,2016-10-01T09:45:26.197Z,62,1,2201,2639,921,UNSN,2,Vehicle Location
12,2764180300,120161001,449490927,44.9490927,-931670624,-93.1670624,0,2016-10-01T14:46:29.813Z,2016-10-01T09:45:26.197Z,63,1,2230,2639,921,UNSN,2,Vehicle Location
128,1051615100,120161001,449476023,44.9476023,-931670667,-93.1670667,,2016-10-01T14:47:33.400Z,2016-10-01T09:47:33.400Z,64,1,2239,2639,921,UNSN,2,Verbose Pass Count
12,2764180408,120161001,449419837,44.9419837,-931670665,-93.1670665,0,2016-10-01T14:47:37.223Z,2016-10-01T09:47:33.400Z,65,1,2278,2639,921,UNSN,2,Vehicle Location
16,1051615107,120161001,449394210,44.939421,-931670799,-93.1670799,0,2016-10-01T14:47:58.003Z,2016-10-01T09:47:58.003Z,66,1,2296,2639,921,GRSN,2,Timepoint Crossing
12,2764180438,120161001,449385584,44.9385584,-931670736,-93.1670736,0,2016-10-01T14:48:01.607Z,2016-10-01T09:47:58.003Z,67,1,2302,2639,921,GRSN,2,Vehicle Location
12,2764180538,120161001,449294435,44.9294435,-931670670,-93.167067,1,2016-10-01T14:49:04.007Z,2016-10-01T09:47:58.003Z,68,1,2365,2639,921,GRSN,2,Vehicle Location
12,2764180636,120161001,449255571,44.9255571,-931670948,-93.1670948,0,2016-10-01T14:50:07.607Z,2016-10-01T09:47:58.003Z,69,1,2392,2639,921,GRSN,2,Vehicle Location
12,2764180740,120161001,449198939,44.9198939,-931670715,-93.1670715,0,2016-10-01T14:51:07.607Z,2016-10-01T09:47:58.003Z,70,1,2430,2639,921,GRSN,2,Vehicle Location
128,1051615251,120161001,449199113,44.9199113,-931670735,-93.1670735,,2016-10-01T14:52:11.207Z,2016-10-01T09:52:11.207Z,71,1,2430,2639,921,GRSN,2,Verbose Pass Count
12,2764180857,120161001,449179687,44.9179687,-931729976,-93.1729976,0,2016-10-01T14:52:16.013Z,2016-10-01T09:52:11.207Z,72,1,2472,2639,921,GRSN,2,Vehicle Location
16,1051615305,120161001,449179820,44.917982,-931850968,-93.1850968,0,2016-10-01T14:53:40.003Z,2016-10-01T09:53:40.003Z,73,1,2531,2639,921,KEFO,2,Timepoint Crossing
128,1051615308,120161001,449180280,44.918028,-931776095,-93.1776095,,2016-10-01T14:53:44.807Z,2016-10-01T09:53:44.807Z,74,1,2494,2639,921,KEFO,2,Verbose Pass Count
12,2764181031,120161001,449179879,44.9179879,-931872523,-93.1872523,0,2016-10-01T14:53:54.403Z,2016-10-01T09:53:44.807Z,75,1,2541,2639,921,KEFO,2,Vehicle Location
128,1051615357,120161001,449179783,44.9179783,-931903588,-93.1903588,,2016-10-01T14:55:05.210Z,2016-10-01T09:55:05.210Z,76,1,2556,2639,921,KEFO,2,Verbose Pass Count
12,2764181167,120161001,449179378,44.9179378,-931967894,-93.1967894,1,2016-10-01T14:55:09.017Z,2016-10-01T09:55:05.210Z,77,1,2588,2639,921,KEFO,2,Vehicle Location
12,2764181286,120161001,449197138,44.9197138,-932074505,-93.2074505,1,2016-10-01T14:56:11.807Z,2016-10-01T09:55:05.210Z,78,1,2645,2639,921,KEFO,2,Vehicle Location
128,1051615432,120161001,449197930,44.919793,-932080745,-93.2080745,,2016-10-01T14:57:15.423Z,2016-10-01T09:57:15.423Z,79,1,2648,2639,921,KEFO,2,Verbose Pass Count
12,2764181412,120161001,449197644,44.9197644,-932133922,-93.2133922,1,2016-10-01T14:57:19.013Z,2016-10-01T09:57:15.423Z,80,1,2676,2639,921,KEFO,2,Vehicle Location
12,2764181545,120161001,449198705,44.9198705,-932204422,-93.2204422,1,2016-10-01T14:58:22.863Z,2016-10-01T09:57:15.423Z,81,1,2709,2639,921,KEFO,2,Vehicle Location
16,1051615515,120161001,449207426,44.9207426,-932201834,-93.2201834,1,2016-10-01T14:58:47.217Z,2016-10-01T09:58:47.217Z,82,1,2717,2639,921,46HI,2,Timepoint Crossing
12,2764181595,120161001,449209113,44.9209113,-932202966,-93.2202966,1,2016-10-01T14:58:48.527Z,2016-10-01T09:58:47.217Z,83,1,2718,2639,921,46HI,2,Vehicle Location
12,2764181729,120161001,449212294,44.9212294,-932204321,-93.2204321,0,2016-10-01T14:59:49.007Z,2016-10-01T09:58:47.217Z,84,1,2720,2639,921,46HI,2,Vehicle Location
12,2764181862,120161001,449212381,44.9212381,-932204249,-93.2204249,0,2016-10-01T15:00:51.423Z,2016-10-01T09:58:47.217Z,85,1,2720,2639,921,46HI,2,Vehicle Location
12,2764181999,120161001,449212370,44.921237,-932204273,-93.2204273,0,2016-10-01T15:01:51.420Z,2016-10-01T09:58:47.217Z,86,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182122,120161001,449212335,44.9212335,-932204365,-93.2204365,0,2016-10-01T15:02:51.420Z,2016-10-01T09:58:47.217Z,87,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182253,120161001,449212359,44.9212359,-932204544,-93.2204544,0,2016-10-01T15:03:51.417Z,2016-10-01T09:58:47.217Z,88,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182384,120161001,449212162,44.9212162,-932204647,-93.2204647,0,2016-10-01T15:04:51.417Z,2016-10-01T09:58:47.217Z,89,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182518,120161001,449212028,44.9212028,-932204689,-93.2204689,0,2016-10-01T15:05:51.413Z,2016-10-01T09:58:47.217Z,90,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182665,120161001,449212036,44.9212036,-932204651,-93.2204651,0,2016-10-01T15:06:53.813Z,2016-10-01T09:58:47.217Z,91,1,2720,2639,921,46HI,14,Vehicle Location
12,2764182801,120161001,449212053,44.9212053,-932204596,-93.2204596,0,2016-10-01T15:07:53.827Z,2016-10-01T09:58:47.217Z,92,1,2720,2639,921,46HI,2,Vehicle Location
12,2764182943,120161001,449212041,44.9212041,-932204581,-93.2204581,0,2016-10-01T15:08:53.827Z,2016-10-01T09:58:47.217Z,93,1,2720,2639,921,46HI,2,Vehicle Location
12,2764183079,120161001,449212047,44.9212047,-932204602,-93.2204602,0,2016-10-01T15:09:53.823Z,2016-10-01T09:58:47.217Z,94,1,2720,2639,921,46HI,2,Vehicle Location
16,1051616973,120161001,449209469,44.9209469,-932208789,-93.2208789,0,2016-10-01T15:10:26.333Z,2016-10-01T10:10:26.333Z,1,4,2724,2639,921,46HI,2,Timepoint Crossing
128,1051616975,120161001,449212333,44.9212333,-932204592,-93.2204592,,2016-10-01T15:10:31.030Z,2016-10-01T10:10:31.030Z,2,4,2720,2639,921,46HI,2,Verbose Pass Count
12,2764183174,120161001,449204333,44.9204333,-932205511,-93.2205511,0,2016-10-01T15:10:34.617Z,2016-10-01T10:10:31.030Z,3,4,2728,2639,921,46HI,2,Vehicle Location
12,2764183322,120161001,449196497,44.9196497,-932185330,-93.218533,-1,2016-10-01T15:11:34.617Z,2016-10-01T10:10:31.030Z,4,4,2741,2639,921,46HI,2,Vehicle Location
